timestamp,cell_id,voltage,current,power
2025-06-18T21:51:15.675540,cell_1,0.856,0.6,0.0
2025-06-18T21:51:15.690712,cell_2,0.84,83.3,0.072
2025-06-18T21:51:15.706858,cell_3,0.9,256.5,0.0
2025-06-18T21:51:48.253391,cell_1,0.828,0.7,0.0
2025-06-18T21:51:48.275280,cell_2,0.864,0.2,0.16
2025-06-18T21:51:48.293609,cell_3,0.856,141.9,0.266
2025-06-18T21:52:29.658930,cell_1,0.884,241.0,0.242
2025-06-18T21:52:29.676076,cell_2,0.864,235.0,0.18
2025-06-18T21:52:29.690431,cell_3,0.872,96.5,0.288
2025-06-18T21:53:02.240763,cell_1,0.804,300.3,0.232
2025-06-18T21:53:02.256352,cell_2,0.836,229.2,0.184
2025-06-18T21:53:02.274886,cell_3,0.824,264.8,0.22
2025-06-18T21:53:37.100923,cell_1,0.86,0.5,0.0
2025-06-18T21:53:37.120692,cell_2,0.912,0.6,0.22
2025-06-18T21:53:37.138914,cell_3,0.9,319.1,0.246
2025-06-18T21:54:07.430345,cell_1,0.884,0.7,0.0
2025-06-18T21:54:07.451050,cell_2,0.82,0.6,0.0
2025-06-18T21:54:07.466415,cell_3,0.824,0.7,0.0
2025-06-18T21:54:37.759827,cell_1,0.832,262.7,0.212
2025-06-18T21:54:37.781853,cell_2,0.86,0.5,0.0
2025-06-18T21:54:37.798867,cell_3,0.916,0.6,0.0
2025-06-18T21:55:10.348335,cell_1,0.856,261.9,0.22
2025-06-18T21:55:10.367446,cell_2,0.848,0.3,0.0
2025-06-18T21:55:10.383931,cell_3,0.832,0.7,0.0
2025-06-18T21:55:42.927253,cell_1,0.888,0.5,0.118
2025-06-18T21:55:42.941314,cell_2,0.872,0.6,0.0
2025-06-18T21:55:42.962757,cell_3,0.804,321.8,0.242
2025-06-18T21:56:17.856797,cell_1,0.888,294.5,0.232
2025-06-18T21:56:17.880430,cell_2,0.84,0.4,0.0
2025-06-18T21:56:17.895551,cell_3,0.88,0.7,0.0
2025-06-18T21:56:50.434706,cell_1,0.892,0.5,0.0
2025-06-18T21:56:50.450373,cell_2,0.88,0.2,0.0
2025-06-18T21:56:50.465347,cell_3,0.864,0.7,0.0
2025-06-18T21:57:23.020160,cell_1,0.848,276.5,0.21
2025-06-18T21:57:23.034918,cell_2,0.856,213.3,0.184
2025-06-18T21:57:23.049701,cell_3,0.832,292.2,0.25
2025-06-18T21:57:53.341618,cell_1,0.832,93.1,0.082
2025-06-18T21:57:53.361309,cell_2,0.884,0.4,0.0
2025-06-18T21:57:53.377789,cell_3,0.876,0.7,0.0
2025-06-18T21:58:23.670492,cell_1,0.84,193.6,0.0
2025-06-18T21:58:23.694884,cell_2,0.86,0.5,0.0
2025-06-18T21:58:23.712763,cell_3,0.868,332.0,0.272
2025-06-18T21:58:56.270522,cell_1,0.876,0.7,0.0
2025-06-18T21:58:56.283857,cell_2,0.92,0.6,0.0
2025-06-18T21:58:56.304513,cell_3,0.86,1.0,0.174
2025-06-18T21:59:28.848741,cell_1,0.892,0.6,0.0
2025-06-18T21:59:28.868088,cell_2,0.82,0.4,0.0
2025-06-18T21:59:28.885117,cell_3,0.832,0.7,0.0
2025-06-18T22:00:01.430357,cell_1,0.82,273.0,0.22
